lambda,name,ZINDEX,WINDEX,Flux ratio
1215.67,Ly_alpha,z_lya,w_ly_a,
1240.81,N_V 1240,zemission,w_n_v,
1549.48,C_IV 1549,zemission,wemission,	
1640.42,He_II 1640,zemission,wemission,	
1908.734,C_III] 1908,zemission,wemission,	
2800.3152,Mg_II 2799,zemission,wemission,	
3728.48355,[O_II]-doublet,zemission,wemission,
3869.8568,,zemission,wemission,	
3890.1511,H_epsilon,zemission,w_balmer,
3971.1232,[Ne_III] 3970,zemission,wemission,	
4102.8916,H_delta,zemission,w_balmer,
4341.6843,H_gamma,zemission,wemission,	
4364.4353,[O_III] 4363,zemission,wemission,	
4686.9915,He_II 4685,zemission,wemission,
4862.6830,H_beta,zemission,w_balmer,
4960.2949,[O_III] 4959,zemission,wemission,	
5008.2397,[O_III] 5007,zemission,wemission,3 * ([O_III] 4959)
5413.0245,He_II 5411,zemission,wemission,
5578.8878,[O_I] 557,zemission,wemission,
5756.1862,[N_II] 5755,zemission,wemission,	
5877.3086,He_I 5876,zemission,wemission,
6302.0464,,zemission,wemission,	
6363.776,,zemission,wemission,
6313.8056,[S_III] 6312,zemission,wemission,
6365.5355,,zemission,wemission,
6549.8590,[N_II] 6548,zemission,wemission,	
6564.6140,H_alpha,zemission,w_balmer,
6585.2685,,zemission,wemission,3 * ([N_II] 6548)
6718.2943,[S_II] 6716,zemission,wemission,	
6732.6782,[S_II] 6730,zemission,wemission,	
7137.7572,[Ar_III] 7135,zemission,wemission,
